7zip 25.01+dfsg-1~deb13u1
perl 5.40.1-6
perl-base 5.40.1-6
perl-modules-5.40 5.40.1-6
perl-openssl-defaults 7+b2
pigz 2.8-1+b1
pinentry-curses 1.3.1-2
pipewire 1.4.2-1+rpt3
pipewire-alsa 1.4.2-1+rpt3
pipewire-bin 1.4.2-1+rpt3
pipewire-pulse 1.4.2-1+rpt3
pkgconf 1.8.1-4
pkgconf-bin 1.8.1-4
pkg-config 1.8.1-4
polkitd 126-2
ppp 2.5.2-1+1
procps 2:4.0.4-9
psmisc 23.7-2
publicsuffix 20250328.1952-0.1
python3.13 3.13.5-2
python3.13-minimal 3.13.5-2
python3.13-venv 3.13.5-2
python3 3.13.5-1
python3-apt 3.0.0
python3-arrow 1.3.0-1.1
python3-attr 25.3.0-1
python3-babel 2.17.0-1
python3-bcrypt 4.2.0-2.1+b1
python3-blinker 1.9.0-1
python3-certifi 2025.1.31+ds-1
python3-cffi-backend 1.17.1-3
python3-chardet 5.2.0+dfsg-2
python3-charset-normalizer 3.4.2-1
python3-colorzero 2.0-4
python3-configobj 5.0.9-1
python3-cryptography 43.0.0-3+deb13u1
python3-dateutil 2.9.0-4
python3-debconf 1.5.91
python3-distro 1.9.0-1
python3-fqdn 1.5.1-2
python3-gpiozero 2.0.1-0+rpt1+trixie
python3-idna 3.10-1
python3-isoduration 20.11.0+git20211126.ae0bd61-2
python3-jinja2 3.1.6-1
python3-jsonpatch 1.32-5
python3-json-pointer 2.4-3
python3-jsonschema 4.19.2-6
python3-jsonschema-specifications 2023.12.1-2
python3-jwt 2.10.1-2
python3-lgpio 0.2.2-1~rpt1+trixie
python3-libgpiod 2.2.1-2+deb13u1
python3-linkify-it 2.0.3-1
python3-markdown-it 3.0.0-3
python3-markupsafe 2.1.5-1+b4
python3-mdurl 0.1.2-1
python3-minimal 3.13.5-1
python3-netplan 1.1.2-7+rpt1
python3-oauthlib 3.2.2-3
python3-pip-whl 25.1.1+dfsg-1+rpt1
python3-pycryptodome 3.20.0+dfsg-3
python3-pygments 2.18.0+dfsg-2
python3-referencing 0.36.2-1
python3-requests 2.32.3+dfsg-5+deb13u1
python3-rfc3339-validator 0.1.4-2
python3-rfc3986-validator 0.1.1-2
python3-rfc3987 1.3.8-3
python3-rich 13.9.4-1
python3-rpds-py 0.21.0-2+b1
python3-rpi-lgpio 0.6-0~rpt1+trixie
python3-setuptools-whl 78.1.1-0.1
python3-smbus2 0.4.3-1
python3-spidev 3.6-1+b6
python3-typeshed 0.0~git20241223.ea91db2-1
python3-uc-micro 1.0.3-1
python3-uritemplate 4.1.1-3
python3-urllib3 2.3.0-3+deb13u1
python3-venv 3.13.5-1
python3-webcolors 1.13-1
python3-websockets 15.0.1-1
python3-yaml 6.0.2-1+b2
python-apt-common 3.0.0
python-babel-localedata 2.17.0-1
python-is-python3 3.13.3-1
raspberrypi-archive-keyring 2025.1+rpt1
raspberrypi-net-mods 1.4.4
raspberrypi-sys-mods 1:20260315
raspi-config 20260303
raspi-config-core 20260303
raspi-firmware 1:1.20250915-1
raspinfo 20260304+1-1
raspi-utils 20260304+1-1
raspi-utils-core 20260304+1-1
raspi-utils-dt 20260304+1-1
raspi-utils-eeprom 20260304+1-1
raspi-utils-otp 20260304+1-1
readline-common 8.2-6
rfkill 2.41-5
rpcsvc-proto 1.4.3-1+b1
rpicam-apps-core 1.11.1-1
rpicam-apps-lite 1.11.1-1
rpi-chromium-mods 20260211
rpi-cloud-init-mods 1:20260119
rpi-connect-lite 2.10.0
rpi-eeprom 28.14-1
rpi-keyboard-config 1.0
rpi-keyboard-fw-update 1.0.1
rpi-loop-utils 1.2.1
rpi-swap 1.2.1
rpi-systemd-config 1.1.1
rpi-update 20230904
rpi-usb-gadget 1.0.6
rsync 3.4.1+ds1-5+deb13u1
rtkit 0.13-5.1+b1
runit-helper 2.16.4
sed 4.9-2+b1
sensible-utils 0.0.25
sgml-base 1.31+nmu1
shared-mime-info 2.4-5+b2
sq 1.3.1-2+b2
sqv 1.3.0-3+b2
ssh 1:10.0p1-7+deb13u2
ssh-import-id 5.10-3
strace 6.13+ds-1
sudo 1.9.16p2-3+deb13u1
systemd 257.9-1~deb13u1
systemd-sysv 257.9-1~deb13u1
systemd-timesyncd 257.9-1~deb13u1
systemd-zram-generator 1.2.1-2
sysvinit-utils 3.14-4
tar 1.35+dfsg-3.1
tzdata 2026a-0+deb13u1
ucf 3.0052
udev 257.9-1~deb13u1
udisks2 2.10.1-12.1+deb13u1
unzip 6.0-29
upower 1.90.9-1
usb-modeswitch 2.6.1-4+b2
usb-modeswitch-data 20191128-7
usbmuxd 1.1.1-6+deb13u1
usbutils 1:018-2
userconf-pi 0.17
util-linux 2.41-5
uuid 1.6.4-1
v4l-utils 1.30.1-1
vim-common 2:9.1.1230-2
vim-tiny 2:9.1.1230-2
wget 1.25.0-2
whiptail 0.52.25-1
wireless-regdb 2026.02.04-1~deb13u1
wireless-tools 30~pre9-18+b1
wireplumber 0.5.8-2
wlr-randr 0.4.1-1
wpasupplicant 2:2.10-24
x11-common 1:7.7+24+deb13u1
x11-utils 7.7+7
x11-xkb-utils 7.7+9
x11-xserver-utils 7.7+11
xauth 1:1.1.2-1.1
xdg-desktop-portal 1.20.3+ds-1
xdg-desktop-portal-gtk 1.15.3-1
xdg-user-dirs 0.18-2
xdg-utils 1.2.1-2
xfonts-base 1:1.0.5+nmu1
xfonts-encodings 1:1.0.4-2.2
xfonts-utils 1:7.7+7
xkb-data 2.42-1
xml-core 0.19
xserver-common 2:21.1.16-1.3+rpt1+deb13u1
xwayland 2:24.1.6-1+rpt1
xz-utils 5.8.1-1
zenoty 0.3
zip 3.0-15
zlib1g 1:1.3.dfsg+really1.3.1-1+b1
zstd 1.5.7+dfsg-1
zutty 0.16.2.20241020+dfsg1-1
